lambdaAvgCost;5.00711e-005
lambdaRisk;0.000294022
UtopiaAvgCost;94415.4
NadirAvgCost;114387
UtopiaRisk;840.459
NadirRisk;4241.56
;;Koszt; Ryzyko; AspiracjaKoszt; AspiracjaRyzyko; KomponentA miesiac 1; KomponentA miesiac 2; KomponentA miesiac 3; KomponentB miesiac 1; KomponentB miesiac 2; KomponentB miesiac 3
;;102559;2225.74;94415.4;840.459;0;623;477;643;71;486
;;101298;2437.48;94415.4;1265.6;0;668;432;671;18;511
;;100113;2661.3;94415.4;1690.73;0;776;324;711;5;484
;;98961.7;2890.08;94415.4;2115.87;0;848;252;673;0;527
;;97896.5;3133.9;94415.4;2541.01;0;936;164;662;0;538
;;96868.1;3383.77;94415.4;2966.15;0;1026;74;660;0;540
;;95874.9;3639.82;94415.4;3391.28;0;1100;0;636;0;564
;;95075.8;3928.89;94415.4;3816.42;0;1100;0;515;0;685
;;94415.4;4241.56;94415.4;4241.56;0;1100;0;415;0;785
;;103812;2015.85;96911.8;840.459;0;578;522;587;134;479
;;102549;2225.56;96911.8;1265.6;0;628;472;618;83;499
;;101296;2437.49;96911.8;1690.73;0;665;435;663;19;518
;;100084;2655.94;96911.8;2115.87;0;752;348;679;0;521
;;98961.7;2890.08;96911.8;2541.01;0;848;252;673;0;527
;;97898.9;3134.49;96911.8;2966.15;0;927;173;647;0;553
;;96910.5;3378.54;96911.8;3391.28;0;1008;92;633;1;566
;;96680.6;3782.92;96911.8;3816.42;0;1015;85;393;82;725
;;96915.6;4209.62;96911.8;4241.56;0;1080;20;300;120;780
;;105091;1808.01;99408.3;840.459;0;543;557;536;203;461
;;103812;2015.71;99408.3;1265.6;0;588;512;572;146;482
;;102551;2226.02;99408.3;1690.73;0;618;482;636;70;494
;;101298;2437.09;99408.3;2115.87;0;665;435;666;18;516
;;100084;2655.94;99408.3;2541.01;0;752;348;679;0;521
;;99415.5;2964.17;99408.3;2966.15;0;855;245;499;95;606
;;98394.7;3334.69;99408.3;3391.28;0;903;197;413;100;687
;;99382.8;3094.98;99408.3;3816.42;0;825;275;416;105;679
;;99092.9;3827.83;99408.3;4241.56;0;990;110;268;188;744
;;106391;1604.62;101905;840.459;0;507;593;489;271;440
;;105090;1808.26;101905;1265.6;0;546;554;541;203;456
;;103810;2015.68;101905;1690.73;0;585;515;580;141;479
;;102555;2225.32;101905;2115.87;0;626;474;610;85;505
;;101902;2539.97;101905;2541.01;0;707;393;419;171;610
;;101427;2900.64;101905;2966.15;1;749;350;300;215;685
;;101427;2900.64;101905;3391.28;1;749;350;300;215;685
;;101427;2900.64;101905;3816.42;1;749;350;300;215;685
;;101427;2900.64;101905;4241.56;1;749;350;300;215;685
;;107721;1405.82;104401;840.459;0;460;640;452;330;418
;;106392;1604.74;104401;1265.6;0;503;597;485;270;445
;;105098;1806.93;104401;1690.73;0;542;558;538;202;460
;;104299;2102.77;104401;2115.87;0;680;420;398;297;505
;;104401;2474.77;104401;2541.01;0;622;478;300;251;649
;;101427;2900.64;104401;2966.15;1;749;350;300;215;685
;;101427;2900.64;104401;3391.28;1;749;350;300;215;685
;;101427;2900.64;104401;3816.42;1;749;350;300;215;685
;;101427;2900.64;104401;4241.56;1;749;350;300;215;685
;;109104;1216.2;106898;840.459;0;418;682;402;400;398
;;107795;1395.46;106898;1265.6;0;457;643;442;336;422
;;106888;1529.18;106898;1690.73;0;482;618;484;285;431
;;106871;1697.9;106898;2115.87;0;574;526;325;402;473
;;106549;2160.23;106898;2541.01;0;689;411;273;417;510
;;105753;2503.12;106898;2966.15;0;689;411;219;376;605
;;101427;2900.64;106898;3391.28;1;749;350;300;215;685
;;101427;2900.64;106898;3816.42;1;749;350;300;215;685
;;101427;2900.64;106898;4241.56;1;749;350;300;215;685
;;110587;1041.6;109394;840.459;0;373;727;362;470;368
;;109390;1261.07;109394;1265.6;0;470;630;309;484;407
;;108429;1547.24;109394;1690.73;0;632;468;341;521;338
;;108896;1690.59;109394;2115.87;0;569;531;261;474;465
;;109383;1722.87;109394;2541.01;0;569;531;227;504;469
;;101427;2900.64;109394;2966.15;1;749;350;300;215;685
;;101427;2900.64;109394;3391.28;1;749;350;300;215;685
;;101427;2900.64;109394;3816.42;1;749;350;300;215;685
;;101427;2900.64;109394;4241.56;1;749;350;300;215;685
;;112263;903.879;111891;840.459;0;323;777;308;553;339
;;111885;931.516;111891;1265.6;0;327;773;338;523;339
;;110336;1157.28;111891;1690.73;16;394;690;284;493;423
;;110712;1321.54;111891;2115.87;63;491;546;242;576;382
;;110966;1330.91;111891;2541.01;0;496;604;253;545;402
;;101427;2900.64;111891;2966.15;1;749;350;300;215;685
;;101427;2900.64;111891;3391.28;1;749;350;300;215;685
;;111871;1608.4;111891;3816.42;0;615;485;184;677;339
;;101427;2900.64;111891;4241.56;1;749;350;300;215;685
;;114233;839.883;114387;840.459;0;304;796;283;605;312
;;114059;924.842;114387;1265.6;0;355;745;238;631;331
;;114369;898.027;114387;1690.73;45;299;756;236;619;345
;;114357;1044.38;114387;2115.87;0;366;734;181;659;360
;;114365;1077.11;114387;2541.01;151;245;704;149;631;420
;;113976;1123.27;114387;2966.15;0;362;738;167;636;397
;;110498;2889.86;114387;3391.28;300;800;0;0;771;429
;;112703;1322.58;114387;3816.42;0;426;674;165;605;430
;;101427;2900.64;114387;4241.56;1;749;350;300;215;685
